3,2020-06-07 16:17:43.842000,2020-06-07 16:24:06.165000,consumer-2,zaZX-ChYI,SG0CVbLqA,2020-06-07 16:24:06.279165
32,2020-06-07 16:17:43.842000,2020-06-07 16:24:07.185000,consumer-2,93cJE2ZRF,SG0CVbLqA,2020-06-07 16:24:07.268841
0,2020-06-07 16:17:43.842000,2020-06-07 16:24:07.287000,consumer-1,yeCUCHR4z,i78SmactU,2020-06-07 16:24:07.372917
0,2020-06-07 16:17:43.842000,2020-06-07 16:24:07.379000,consumer-3,1sit-vGaz,lrGcanvyv,2020-06-07 16:24:07.472182
2,2020-06-07 16:17:43.842000,2020-06-07 16:24:07.378000,consumer-3,tdL_zBgL3,tljak7vLp,2020-06-07 16:24:07.493537
1,2020-06-07 16:17:43.842000,2020-06-07 16:24:07.428000,consumer-1,b3O-4WyUk,GZe_Kuo5P,2020-06-07 16:24:07.512845
17,2020-06-07 16:17:43.842000,2020-06-07 16:24:07.666000,consumer-1,rLzibrJDk,pXAT-ImGh,2020-06-07 16:24:07.751447
28,2020-06-07 16:17:43.842000,2020-06-07 16:24:07.711000,consumer-1,YlPs7ncqTu,quf3Qpxd0,2020-06-07 16:24:07.798267
15,2020-06-07 16:17:43.842000,2020-06-07 16:24:07.714000,consumer-1,Cxp4lpMvhJ,EWsBzLK40,2020-06-07 16:24:07.799664
25,2020-06-07 16:17:43.842000,2020-06-07 16:24:07.719000,consumer-1,sxQco4WkPG,twx5B-XU8,2020-06-07 16:24:07.803904
21,2020-06-07 16:17:43.842000,2020-06-07 16:24:07.717000,consumer-1,sZ4OLCa97n,w0iHwv9p8,2020-06-07 16:24:07.818789
27,2020-06-07 16:17:43.842000,2020-06-07 16:24:07.727000,consumer-1,O_YoHgacSj,gdI7H7Un7,2020-06-07 16:24:07.849179
24,2020-06-07 16:17:43.842000,2020-06-07 16:24:07.811000,consumer-1,DaLHKyHerF,dg0SaD3QN,2020-06-07 16:24:07.897113
44,2020-06-07 16:17:43.842000,2020-06-07 16:24:07.826000,consumer-1,3p6hk4WxPy,yeSbS_3fF,2020-06-07 16:24:07.913904
32,2020-06-07 16:17:43.842000,2020-06-07 16:24:07.839000,consumer-1,eK7BYDYg45,UsImLWqkT,2020-06-07 16:24:07.926973
33,2020-06-07 16:17:43.842000,2020-06-07 16:24:07.827000,consumer-1,QqKZL-2FYX,qnP1u6BP6,2020-06-07 16:24:07.932403
36,2020-06-07 16:17:43.842000,2020-06-07 16:24:07.831000,consumer-1,Iy9FnsNitD,5vAiE8LOs,2020-06-07 16:24:07.935935
41,2020-06-07 16:17:43.842000,2020-06-07 16:24:07.854000,consumer-1,UEAivDsnky,RxmBizh-E,2020-06-07 16:24:07.940143
40,2020-06-07 16:17:43.842000,2020-06-07 16:24:07.839000,consumer-1,BQO3e9Oq4j,qLrtFv4cl,2020-06-07 16:24:07.946077
46,2020-06-07 16:17:43.842000,2020-06-07 16:24:07.897000,consumer-1,H739FADw5j,hR1-CNuBu,2020-06-07 16:24:07.982884
35,2020-06-07 16:17:43.842000,2020-06-07 16:24:07.910000,consumer-1,nDeAnoRMYn,ni031Bg1U,2020-06-07 16:24:07.999282
30,2020-06-07 16:17:43.842000,2020-06-07 16:24:08.207000,consumer-2,CayUChqNS,SG0CVbLqA,2020-06-07 16:24:08.292475
43,2020-06-07 16:17:43.842000,2020-06-07 16:24:08.360000,consumer-1,fs8lFLzNM,ApsW1cf7D,2020-06-07 16:24:08.446140
37,2020-06-07 16:17:43.842000,2020-06-07 16:24:08.371000,consumer-1,g3O8RcluT,xZTCH9_MX,2020-06-07 16:24:08.457322
8,2020-06-07 16:17:43.842000,2020-06-07 16:24:08.404000,consumer-1,xYS3kQXD5,0vAkfzU3h,2020-06-07 16:24:08.490114
39,2020-06-07 16:17:43.842000,2020-06-07 16:24:08.443000,consumer-1,LWu0f-9dr,FcUWRg1uB,2020-06-07 16:24:08.529525
48,2020-06-07 16:17:43.842000,2020-06-07 16:24:08.443000,consumer-1,hMUQJ6M4L,ytfJR-TSE,2020-06-07 16:24:08.530334
47,2020-06-07 16:17:43.842000,2020-06-07 16:24:08.413000,consumer-1,ndFy5SR4M,Bh1IbPqnN,2020-06-07 16:24:08.499579
38,2020-06-07 16:17:43.842000,2020-06-07 16:24:08.453000,consumer-1,zPtvpk3Ej,dJAjp3hTw,2020-06-07 16:24:08.540911
42,2020-06-07 16:17:43.842000,2020-06-07 16:24:08.428000,consumer-1,M6CBC-yMG,fTvgPmxrr,2020-06-07 16:24:08.514860
17,2020-06-07 16:17:43.842000,2020-06-07 16:24:08.906000,consumer-3,kEKYAM_tc,tljak7vLp,2020-06-07 16:24:08.992058
998,2020-06-07 16:17:43.843000,2020-06-07 16:24:09.201000,consumer-1,df5Xi5C_J,ni031Bg1U,2020-06-07 16:24:09.289252
999,2020-06-07 16:17:43.843000,2020-06-07 16:24:09.257000,consumer-1,5OnS35Obw,hR1-CNuBu,2020-06-07 16:24:09.344644
18,2020-06-07 16:17:43.842000,2020-06-07 16:24:09.275000,consumer-2,cte2BsZNZ,SG0CVbLqA,2020-06-07 16:24:09.363803
41,2020-06-07 16:17:43.842000,2020-06-07 16:24:09.457000,consumer-3,ya4avPZ9K,lrGcanvyv,2020-06-07 16:24:09.546510
994,2020-06-07 16:17:43.843000,2020-06-07 16:24:09.602000,consumer-1,wvfDUuMqO,dJAjp3hTw,2020-06-07 16:24:09.689439
997,2020-06-07 16:17:43.843000,2020-06-07 16:24:09.612000,consumer-1,6xYWpJpat,ytfJR-TSE,2020-06-07 16:24:09.698783
996,2020-06-07 16:17:43.843000,2020-06-07 16:24:09.613000,consumer-1,10GccVSFv,fTvgPmxrr,2020-06-07 16:24:09.701005
993,2020-06-07 16:17:43.843000,2020-06-07 16:24:09.613000,consumer-1,nI7DprGn0,FcUWRg1uB,2020-06-07 16:24:09.701005
995,2020-06-07 16:17:43.843000,2020-06-07 16:24:09.616000,consumer-1,TvcA6q34R,Bh1IbPqnN,2020-06-07 16:24:09.703352
992,2020-06-07 16:17:43.843000,2020-06-07 16:24:09.656000,consumer-1,HA9O-VxXm,0vAkfzU3h,2020-06-07 16:24:09.743530
991,2020-06-07 16:17:43.843000,2020-06-07 16:24:09.659000,consumer-1,VV3ZOhZGX,xZTCH9_MX,2020-06-07 16:24:09.746148
989,2020-06-07 16:17:43.843000,2020-06-07 16:24:09.669000,consumer-1,sUBDGjZdr,ApsW1cf7D,2020-06-07 16:24:09.755662
983,2020-06-07 16:17:43.843000,2020-06-07 16:24:09.693000,consumer-1,4MEqiFUxX,qLrtFv4cl,2020-06-07 16:24:09.781839
986,2020-06-07 16:17:43.843000,2020-06-07 16:24:09.694000,consumer-1,YEPA3bv_y,RxmBizh-E,2020-06-07 16:24:09.782956
981,2020-06-07 16:17:43.843000,2020-06-07 16:24:09.701000,consumer-1,rKtP6Byr6,5vAiE8LOs,2020-06-07 16:24:09.788412
987,2020-06-07 16:17:43.843000,2020-06-07 16:24:09.703000,consumer-1,El6mI9YCv,UsImLWqkT,2020-06-07 16:24:09.790356
